,,,,,
,,,,,
,,,,,
0,2018-06-06,十六进制科技,Pre-A轮,1000万,[[u'\u6625\u6653\u8d44\u672c']]
1,2018-06-06,莱诺医疗,B轮,数千万,"[[u'Medtronic\u7f8e\u6566\u529b'], [u'\u5c1a\u73f9\u8d44\u672c'], [u'\u8fdc\u6bc5\u8d44\u672c']]"
2,2018-06-06,慧云信息,A轮,1000万,[[u'\u767e\u679c\u56ed']]
3,2018-06-06,博鸟绘本,天使轮,500万,"[[u'\u7acb\u5143\u521b\u6295'], [u'\u534e\u65e6\u5929\u4f7f\u6295\u8d44']]"
4,2018-06-06,欧欧眼保仪,A+轮,数千万,[[u'\u5bcc\u58eb\u5eb7']]
5,2018-06-06,毒角SHOW,A轮,4000万,[[u'\u7ea2\u6749\u8d44\u672c\u4e2d\u56fd']]
6,2018-06-06,蛋壳公寓,B+轮,7000万,"[[u'\u8d1d\u5854\u65af\u66fc\u4e9a\u6d32\u6295\u8d44\u57fa\u91d1'], [u'\u6109\u60a6\u8d44\u672c'], [u'\u534e\u4eba\u6587\u5316\u4ea7\u4e1a\u57fa\u91d1'], [u'Tiger Global Management(\u8001\u864e\u56fd\u5916)'], [u'\u5143\u749f\u8d44\u672c'], [u'\u9149\u91d1\u8d44\u672cRegent Capital'], [u'\u9ad8\u6995\u8d44\u672c']]"
7,2018-06-05,Merculet,天使轮,数千万,"[[u'JRR Crypto'], [u'OKCoin']]"
8,2018-06-05,TokenGazer,天使轮,1000万,[[u'JRR Crypto']]
9,2018-06-05,BIGO LIVE百果园网络,D轮,2.7亿,"[[u'\u674e\u5b66\u51cc'], [u'\u6b22\u805a\u65f6\u4ee3(YY\u591a\u73a9)']]"
10,2018-06-05,纳什空间,B+轮,未透露,[[u'\u8fdc\u6d0b\u8d44\u672c']]
11,2018-06-05,企迈云商,天使轮,1000万,[u'\u672a\u900f\u9732']
12,2018-06-05,浙江扁鹊,战略投资,5500万,[[u'\u963f\u91cc\u5065\u5eb7']]
13,2018-06-05,徐诺药业,B轮,未透露,"[[u'\u666f\u65ed\u521b\u6295'], [u'\u8d1d\u68ee\u8d44\u672c'], [u'\u6c49\u9f0e\u5b87\u4f51'], [u'\u5317\u6781\u5149\u521b\u6295']]"
14,2018-06-05,湘中制药,战略投资,1.44亿,[[u'\u534e\u6da6\u53cc\u9e64']]
15,2018-06-05,迈威通信,战略投资,未透露,[[u'\u4e1c\u6e56\u521b\u6295']]
16,2018-06-05,途中美食,天使轮,数百万,[[u'\u540c\u521b\u4f1f\u4e1a']]
17,2018-06-05,ContentBox,Pre-A轮,未透露,[[u'IMO Ventures']]
18,2018-06-05,亮亮视野,B+轮,1亿,"[[u'\u84dd\u9a70\u521b\u6295'], [u'\u5efa\u94f6\u56fd\u9645'], [u'\u7ecf\u7eac\u4e2d\u56fd']]"
19,2018-06-05,钻盈,天使轮,数百万,[u'\u672a\u900f\u9732']
,,,,,
0,2018-06-05,Goopal group,A+轮,1200万,"[[u'\u541b\u8054\u8d44\u672c'], [u'SIG\u6d77\u7eb3\u4e9a\u6d32']]"
1,2018-06-05,PINTEC品钛,A轮,1.03亿,"[[u'\u66fc\u56fe\u8d44\u672cMandra Capital'], [u'\u7199\u91d1\u8d44\u672c'], [u'\u987a\u4e3a\u8d44\u672c'], [u'\u65b0\u6d6a']]"
2,2018-06-05,味Back,Pre-A轮,数千万,[[u'\u6606\u4ef2\u8d44\u672c']]
3,2018-06-05,虎博科技,Pre-A轮,数亿,[[u'\u9ad8\u6995\u8d44\u672c']]
4,2018-06-05,同程旅游,战略投资,20亿,[[u'\u534e\u4fa8\u57ce']]
5,2018-06-05,体育产业生态圈,Pre-A轮,未透露,[u'\u672a\u900f\u9732']
6,2018-06-05,咔啦酷,A轮,5000万,[[u'\u534e\u76d6\u8d44\u672c']]
7,2018-06-05,燕东微电子,战略投资,40亿,"[[u'\u7535\u5b50\u57ce'], [u'\u4ea6\u5e84\u56fd\u9645\u6295\u8d44'], [u'\u56fd\u5bb6\u96c6\u6210\u7535\u8def\u4ea7\u4e1a\u6295\u8d44\u57fa\u91d1']]"
8,2018-06-04,GE快健身,天使轮,2000万,[[u'\u7406\u6210\u8d44\u4ea7']]
9,2018-06-04,球无忧,A轮,3500万,[u'\u672a\u900f\u9732']
10,2018-06-04,宝宝树,战略投资,数亿,[[u'\u963f\u91cc\u5df4\u5df4']]
11,2018-06-04,录趣,A轮,1500万,[[u'\u4e2d\u56fd\u6559\u5e08\u7814\u4fee\u7f51']]
12,2018-06-04,悉之教育,天使轮,1000万,[[u'\u4e1c\u65b9\u65b0\u521b']]
13,2018-06-04,壹号餐桌,战略投资,1000万,"[[u'\u6c34\u6728\u6570\u5b57'], [u'\u7eb7\u4fe1']]"
14,2018-06-04,西施生态,战略投资,数千万,[[u'\u56fd\u5bb6\u4e2d\u5c0f\u4f01\u4e1a\u53d1\u5c55\u57fa\u91d1\uff08\u56fd\u4e2d\u521b\u6295\uff09']]
15,2018-06-04,塔米智能,A轮,数千万,[u'\u672a\u900f\u9732']
16,2018-06-04,SellerGrowth,A轮,数千万,[[u'\u96f6\u4e00\u521b\u6295']]
17,2018-06-04,乐乎,B轮,数亿,"[[u'\u7ff0\u540c\u8d44\u672c/\u9ad8\u548c\u7ff0\u540c\u8d44\u672c'], [u'\u987a\u4e3a\u8d44\u672c'], [u'\u9e25\u7fce\u6295\u8d44']]"
18,2018-06-04,草根投资,D轮,23亿,[[u'\u6d32\u9645\u6cb9\u6c14']]
19,2018-06-04,知识圈,Pre-A轮,1000万,[[u'\u597d\u672a\u6765(\u5b66\u800c\u601d)']]
,,,,,
0,2018-06-04,来凯医药,A轮,1850万,"[[u'\u5b89\u9f99\u57fa\u91d1'], [u'OrbiMed\u5965\u535a\u8d44\u672c']]"
1,2018-06-04,布洛克科技,A+轮,2000万,"[[u'\u738b\u695a\u4e91'], [u'\u4e0a\u53e4\u8d44\u672c'], [u'BeeChat'], [u'\u54c8\u5e0c\u8d44\u672cHash Capital']]"
2,2018-06-04,megarobo镁伽机器人,A轮,数百万,"[[u'\u6109\u60a6\u8d44\u672c'], [u'\u660e\u52bf\u8d44\u672c'], [u'\u82f1\u8bfa\u5929\u4f7f\u57fa\u91d1'], [u'\u9010\u9e7f\u8d44\u672c'], [u'\u81fb\u4e91\u521b\u6295']]"
3,2018-06-03,三迭纪,A轮,1亿,"[[u'\u706b\u5c71\u77f3\u8d44\u672c'], [u'\u6668\u5174\u8d44\u672c']]"
